year,block,equation,description,value
2026,Source: inv_grp,Financial services (inv_fs),,112.4819
2027,Source: inv_grp,Financial services (inv_fs),,118.2018
2028,Source: inv_grp,Financial services (inv_fs),,137.7369
2029,Source: inv_grp,Financial services (inv_fs),,135.5141
2030,Source: inv_grp,Financial services (inv_fs),,133.6998
2031,Source: inv_grp,Financial services (inv_fs),,139.5595
2032,Source: inv_grp,Financial services (inv_fs),,145.639
2024,Source: inv_grp,Public Services (inv_ps),,9.597084
2025,Source: inv_grp,Public Services (inv_ps),,9.830154
2026,Source: inv_grp,Public Services (inv_ps),,10.12566
2027,Source: inv_grp,Public Services (inv_ps),,10.83352
2028,Source: inv_grp,Public Services (inv_ps),,12.73296
2029,Source: inv_grp,Public Services (inv_ps),,12.66314
2030,Source: inv_grp,Public Services (inv_ps),,12.52085
2031,Source: inv_grp,Public Services (inv_ps),,13.45319
2032,Source: inv_grp,Public Services (inv_ps),,13.83003
2024,Source: inv_grp,Market Services (inv_ms),,10.36875
2025,Source: inv_grp,Market Services (inv_ms),,10.44794
2026,Source: inv_grp,Market Services (inv_ms),,10.78872
2027,Source: inv_grp,Market Services (inv_ms),,11.10773
2028,Source: inv_grp,Market Services (inv_ms),,12.88144
2029,Source: inv_grp,Market Services (inv_ms),,12.78744
2030,Source: inv_grp,Market Services (inv_ms),,12.55718
2031,Source: inv_grp,Market Services (inv_ms),,13.2265
2032,Source: inv_grp,Market Services (inv_ms),,13.56959
2024,Source: inv_grp,2,Total,75206.33
2025,Source: inv_grp,2,Total,77968.46
2026,Source: inv_grp,2,Total,82697.53
2027,Source: inv_grp,2,Total,88077.81
2028,Source: inv_grp,2,Total,105031.3
2029,Source: inv_grp,2,Total,105712.3
2030,Source: inv_grp,2,Total,105665.1
2031,Source: inv_grp,2,Total,114942.5
2032,Source: inv_grp,2,Total,120227.9
2024,Source: inv_grp,78369.3437714214,,77786.151414
2025,Source: inv_grp,78369.3437714214,,77871.03256699999
2026,Source: inv_grp,78369.3437714214,,82059.790484
2027,Source: inv_grp,78369.3437714214,,85663.26309000001
2028,Source: inv_grp,78369.3437714214,,102440.96115999999
2029,Source: inv_grp,78369.3437714214,,103309.74569000001
2030,Source: inv_grp,78369.3437714214,,102905.13149
2031,Source: inv_grp,78369.3437714214,,110415.66193000002
2032,Source: inv_grp,78369.3437714214,,114323.40196999998
