year,block,equation,description,value
2026,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),16115.07
2027,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),16634.97
2028,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),16448.43
2029,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),17281.65
2030,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),18426.19
2031,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),19008.71
2032,5. Investment - Saving Balance,15565.063387119968,Households (sh_1),19728.34
2024,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),30478.01
2025,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),32299.64
2026,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),34204.16
2027,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),36798.7
2028,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),41452.82
2029,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),44682.92
2030,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),47543.05
2031,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),50773.95
2032,5. Investment - Saving Balance,28605.099999999988,Firms (sf_1),53106.65
2024,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),15805.01
2025,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),15691.87
2026,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),16221.05
2027,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),15666.08
2028,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),24673.69
2029,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),18994.42
2030,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),13420.02
2031,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),15218.02
2032,5. Investment - Saving Balance,16354.199999999993,Government (sg_1),15398.33
2024,5. Investment - Saving Balance,21072.5690224,Foreign,-13354.84
2025,5. Investment - Saving Balance,21072.5690224,Foreign,-14141.49
2026,5. Investment - Saving Balance,21072.5690224,Foreign,-16157.25
2027,5. Investment - Saving Balance,21072.5690224,Foreign,-18978.06
2028,5. Investment - Saving Balance,21072.5690224,Foreign,-22456.36
2029,5. Investment - Saving Balance,21072.5690224,Foreign,-24753.35
2030,5. Investment - Saving Balance,21072.5690224,Foreign,-26275.86
2031,5. Investment - Saving Balance,21072.5690224,Foreign,-29941.83
2032,5. Investment - Saving Balance,21072.5690224,Foreign,-31994.62
