year,defgdpt,gdp2009mpt,gdpmpt,gdppcust,ggdpt,в_тч_натуральное,в_тч_рыночный,в_тч_трансферты_населению_в_натуральной_форме,валовая_прибыль_и_смешанные_доходы,валовое_накопление,валовое_накопление_основного_капитала,ввп_в_основных_ценах,ввп_в_рыночных_ценах,ввп_в_рыночных_ценах_2009_года,ввп_в_рыночных_ценах_млн_сомони,ввп_на_душу_населения_в_сомони,ввп_по_доходам_без_трансфертов,ввп_по_использованию,внутренний_спрос,государства,заработной_платы_полученной_за_границей_и_выплаченной_нерезидентам,изменение_запасов,импорт_товаров_и_услуг,инвестиции_в_ок_ввп,ипц_в_том_числе_декдек_факт,конечное_потребление,конечное_потребление_государства,конечное_потребление_населения,налоги_на_производства_и_импорт,населения,оплата_труда_наемных_работников,потребление_государства_ввп,потребление_домохозяйств_ввп,промышленность,прочие_товары,прочие_услуги_остатком,розничная_и_оптовая_торговля,сельское_хозяйство_и_рыболовство,статистическое_расхождение,субсидии_на_производство_и_импорт,товары,транспорт_и_связь,услуги,чистые_косвенные_налоги,чистый_экспорт_товаров_и_услуг,экспорт_товаров_и_услуг,constrt,defconstrt,gconstrt,gtranc_t,gtranpt,invt,proxytranindt,trancm_t,trancother_t,tranct,tranpm_t,tranpother_t,tranpt,за_счет_бюджета,инвестиции_в_ок,иностранные_инвестиции,совместные,соотношение_строительствоинвестиции_в_ок,частные
2007,127.23564656244146,18400.98975899154,12804.3,515.4486036838978,107.8,4821.4080380000005,2983.738055677241,904,9210.9,1670.5788678663755,2973.9,5568.3384174133325,111.67932984178412,18400.98975899154,12804.3,3285.8,12854.499999999996,6457.425920560215,118.88895877243961,1140.1,4234.5,180.19999999999982,-6317.167474375001,0.2322579133572316,121.5,16540.416076,89.23544640863989,105.0184957800317,1872.8,15400.316076000001,5980.2,0.08904040049046023,1.2027456460720227,1013.5926556761297,46.509089134118824,1277.7227159043741,1162.4476541901147,1444.840558289155,4079,25.1,2976.3351120611833,508.7342126006389,2638.904319699721,788.4076105475749,-8222.5,2999.659436375,1034.6,165.13439315584498,110.39999999999999,113.79960041475938,103.3220991815118,2828.7,167.1273858810169,30.497500000000002,14.5,44.998,406.5,22.7,429.2,273.8876659678547,1.3291066282420747,795.5559345156889,52.65746527777778,0.3657510517198713,294.4256298870547
2008,128.16376264122408,19854.667949951876,17706.9,702.8012959749728,107.9,3270.1,4417.988374919977,1088.8,12852.8,2413.3060858254694,4341.4,6678.505609320782,112.02859598446351,19854.667949951876,17706.9,3285.8,17787.6,8911.572636650082,123.00528052915213,1652.7,7967.4,352.5,-6951.75,0.2451812570240979,120.4,17156.5,94.24043417727957,113.73118093230819,2735.9,15145,10129,0.09333649594225979,0.855316289130226,1082.7709195054467,45.03236610210305,1259.2811206107729,1553.342983986542,1574.0329913407168,4079,37.3,3436.2059579631386,702.5705466945217,3325.061682947734,945.5627467591816,-8222.5,2934.2,1832.6,146.147903017636,121.2,106.07767098172121,106.0111835973905,4341.4,162.22222712534568,33.1856,14.546700000000001,47.732,443,12,455,507.9269406392694,0.5347686216283098,1350.8501731192948,106.15237191650854,0.4221218961625282,206.9025455474204
2009,112.12955373301864,20629,20629,661.3018160138391,103.9,3757.3999999999996,5154.080142173276,2242,15325.9,2600.9500000000003,5423.9,7398.188811280799,105.35029430992682,20629,20629,3285.8,19995.294865201722,10367.397138592585,115.78285633609232,2570.8,5203.8,-298.8,-6295.35,0.26292597799214695,106.4,20380.2,106.9,107.9,3182,17605.3,8085,0.12462067962576956,0.8534247903436909,1229.6722663130515,43.2143341897326,1181.728436009004,1786.078798934514,1576.3001735224066,2761.9,51,3616.1477849350667,955.4140821487199,3825.166121680223,957.3893386156448,-7638.6,2573,2098.4,135.5076726763863,84.50000000000001,119.12897555743176,113.09890109890111,3899.4,151.63620741541897,42.314800000000005,14.548199999999994,58.863,502.90000000000003,11.7,514.6,609.7506403940887,-0.10181047588335546,805.5483154387264,140.5142214860388,0.5381340719084987,394.40134025597683
2010,112.4480169104208,21969.885,24707.100000000002,750.4,106.5,7372.3499999999985,3094.64500245074,2267.4,17296.7,2999.55,6050.6,8353.422362195135,106.31951207096677,21969.885,24707.100000000002,3285.8,24723,12409.456291578204,106.2865602242654,2798.5,6902.5,-158.9,-7234.85,0.24489316836051175,106.5,23726.2,100.9,110.6,3925.3,20717.1,10452.7,0.11326703660081514,0.8385079592505796,1421.78391121768,41.01861813001121,1198.9907042105974,1980.195118264388,1834.2645970406695,3046.4,49.2,4114.338828690402,1138.9508222498985,4388.731254261975,1089.8682314978616,-7957.000000000001,3371.85,2528.2,110,109.52933837036008,107.62710374056945,104.83870967741935,4413.5,175.32456118743553,50.800000000000004,10.4,59.327,526.8,12.7,539.5,815.1183752973018,0.1318407960199004,861.1843779087806,158.36394727467047,0.5728333522147955,372.32258535347125
2011,113.32435620195481,23595.656489999998,30071.1,845.6482124262408,107.4,10768.45,3810.144849281581,2898.8,20768.4,4448.45,8598.2,9526.047978161392,106.90811873398495,23595.656489999998,30071.1,3898.1,30138.900000000005,15092.268585735917,112.377098136349,4105.7,6570.9,185.4,-11092.449999999999,0.28592901490135053,112.5,33314.9,107.8,124.4,5161.9,28935.7,10841.8,0.13653308325934202,0.962242817855017,1603.2315708392396,52.85,1381.4119300273255,1856.2955788035501,2369.3462601095225,4923.7,62.3,4827.168680822034,1741.366875266985,4856.979297066328,1316.4178184749942,-16951.1,2718.05,2387.5,89.51163576281347,105.5,103.92738550744181,88.84151992585728,4848,189.8379103337267,52.397,9.259999999999998,61.657,467.3,12,479.3,1091.8282370569368,0.09844794380876865,578.0975503190862,225.16260536145177,0.4924711221122112,529.3381763792021
2012,111.86851503023107,25365.33072675,36163.1,961.4714342704768,107.5,9156.350000000002,4659.300534908125,3838.8,24639.9,4246.150000000001,7855.8,10913.53742857122,106.45617167674368,25365.33072675,36163.1,4579.2,36197.4,18131.532781163984,96.07087766177925,4644,9751.6,558.4,-12506.4,0.21723248283471275,105.8,41047.7,102.1,115.2,6370,27407.100000000002,15027.3,0.12841819423666667,0.7578747397208758,1791.3438676128903,55.4,1476.3103398847286,2235.1141266293453,2708.962582345809,3985.6,88.2,5389.518769545153,2167.803423453457,5714.344867017373,1499.781108908982,-17284.5,3953.8,3023.5,167.51156541732456,75.6,110.93468705905252,106.98935948257875,4540.2,242.58339167190815,60.42560157407882,7.973398425921182,68.399,500.8,11.999999999999943,512.8,1009.2122553805294,-0.06349009900990099,517.697677850667,183.4078646424593,0.6659398264393639,559.6287948929648
2013,104.34105730386703,27242.3652005295,40525.2,1053.5032114520802,107.4,9154.95,11633.328316879295,4525.3,26705.7,5069.900000000001,9736.3,11977.281346256541,103.91368576795567,27242.3652005295,40525.2,5019.1,40641.399999999994,20323.299838927498,111.99856813641878,5352.2,16880.8,288.3,-12975.400000000001,0.24025297839369084,103.7,46141.6,102.3,109.4,7457.3,41354.9,23449,0.1320709089652858,1.0204736805740626,1848.9611568221694,51.9,1664.7353317443096,2614.3395354217605,2747.5312099077014,2828.6,89.8,5743.6541439323555,2396.4507095260674,6446.493860126694,1681.5252015075919,-18469.300000000003,3848.8500000000004,4200.8,118.54805163872757,117.2,105.5,104.7,5796.799999999999,238.8654940919852,65.5,6.700000000000003,72.2,533.2,11.799999999999955,545,1213.1009412930393,0.27677194837231833,579.8098744567842,254.89400544959088,0.7246756831355232,851.2103198713368
2014,105.47222559175718,29067.60366896498,45606.6,1119.313461265679,106.7,9153.4,12990.681794935475,5399.5,28908.2,6024.05,11781.5,13077.364798298138,104.05740853058573,29067.60366896498,45606.6,5523.7,45606.700000000004,22858.835474561856,106.1484102011742,6317.1,15462.8,149,-13287.550000000001,0.25832883836988507,107.4,51376.3,104.1,101.8,9139.4,44082,23121.2,0.1385128468248017,0.9665706279354305,1970.6160513306725,52.5,1597.8240267504866,2826.3435948506603,3283.7365260578126,3832.6,99.3,6667.872576103471,2522.5311936674416,6597.2401566729095,1964.0674391671841,-21532.800000000003,2630.5,4660,88.53252289724618,125.3,103,102.2,7495.2,242.72655526743137,67.6,6.800000000000011,74.4,545.2,11.699999999999932,556.9,1552.1397361912614,0.292989235440243,786.0777921517896,254.69999999999993,0.6217312413277831,1155.1786532698748
2015,105.44940160514669,30811.65988910288,50977.399999999994,978.4572958066346,106,4813.300000000001,13289.709266259151,4055.1,34929.9,11453.45,19736.9,14661.61502719102,103.81646720171557,30811.65988910288,50977.399999999994,6031.7,50977.9,25543.362499637904,107.13765007288394,5892.5,10044.9,3044.8,-10180,0.3871696084931755,105.1,42206.3,103.3,85,7792.4,36003,18383.9,0.11559043811571404,0.7062541439932206,2513.356882033532,55.65,2291.9877070198227,2707.5339602777062,3376.1348197180982,1452.6,83.4,8017.131135682381,2207.182834062856,6808.485037486384,1796.4511698995782,-15462.8,2561.2,7679.3,135.96686921911075,121.2,100,101.4,9749.9,258.4009002907822,68.3,6.1000000000000085,74.4,553.1,11.399999999999977,564.5,1723.0550902061855,0.300819190948874,1792.3399032955847,137.87110325873567,0.7876285910624725,1222.179069264069
2016,100.54217866635985,32937.66442145097,54790.299999999996,808.6553678084639,106.89999999999999,7511.300000000001,14203.017354283453,4817.9,37383.6,11147.85,21954,15742.7251257012,102.48072622211994,32937.66442145097,54790.299999999996,6336.3,54790.2,27450.899999999998,99.20048408211545,6441.6,10242.4,248.3,-11603.4,0.4006913632522545,106.1,50109.6,101.7,113,8398.8,43219.8,19345.2,0.11756825569489492,0.7888221090229476,2965.072303392883,58,2298.3042683881968,2943.208661294764,3519.175720835415,-1454.8,95,8925.348450122598,2216.8882456695037,6947.692300664445,1905.5010919281826,-16066.8,3673.8,8382.9,90.7417235562793,120.3,113,101.5,11509.2,295.530090881854,78.6,5.5,84.1,560.7,12.199999999999932,572.9,2200.0884068485198,0.18044287633719325,2303.2427136239326,255.12215785662545,0.7283651339797726,996.7578263715592
2017,109.80546757006118,35276.23859537399,64434.3,852.8252453302455,107.1,10323.900000000001,15531.580896474861,5466.7,44805.9,9686.45,20133,17954.054789044596,105.63515585668706,35276.23859537399,64434.3,7291.4,64434.29999999999,32268.7,98.33280983629004,7336.8,13528.8,-848.1,-12472.05,0.31245780585806004,106.7411,59167.4,105.7,105,9612.2,51499.4,23675.8,0.11386482044501142,0.7992544343618228,3910.2247337400377,60.65,3155.824189418072,3100.496999424463,3930.251038702063,1400.6,130.8,10054.722933046503,2211.6575220922023,8032.930942483768,2093.8831116487195,-15418.499999999998,4862.95,7680.4,88.01137863687077,104.1,100.1,103.8,11806.3,373.94613683368254,79.5,4.599999999999994,84.1,582.2,12.5,594.7,2506.969762949158,0.02581413130365262,2231.034358039165,254.69999999999936,0.6505340369124959,910.4566885689924
2018,103.10801169007861,37730.543246060035,71059.2,860.0183582480987,106.95738760256572,10461.449999999997,16613.37078637889,5744,49017.4,13302.3,25146.8,19592.333284742188,103.3551330975481,37730.543246060035,71059.2,7870.2,71059.20000000001,35583.15,112.84611412735578,7973.6,13957.4,1332.3,-14679.7,0.35388521120417904,105.37888685927308,62273.399999999994,104.5,104,10734,53938.7,25377.6,0.11221066378456274,0.7590670877240385,4481.8368032709795,55.3,2965.5621485424062,3867.1571252057497,4175.706594189525,1560.3,112.4,11296.337951543392,2010.2365252774532,8426.995395554331,2267.5080274200045,-19253.6,5154.95,9411.7,111.1994507243129,110.2,106.53983353151011,103.3,13361,419.91300049284655,84.3,5.299999999999997,89.6,602.6,11.899999999999977,614.5,3234.5450995253104,0.1316839314603222,2101.120888146837,216.72559874361968,0.7044158371379389,1128.2695222405273
2019,103.61774809722768,40538.612612107594,79109.79999999999,900.3158413867642,107.4424302553364,10795.849999999999,19273.75383143466,6433.2,55102.9,14052.400000000001,24926.6,21601.20149556446,103.68672611752136,40538.612612107594,79109.79999999999,8580.1,79109.8,39608.799999999996,107.05390332900731,8824.3,15415.3,3069.3,-16190.05,0.315088648941092,108,69139,100.7,105,11796.7,59925,27759.9,0.11154496661601977,0.7574914865162092,5038.01370521297,56.6,3175.520682935806,4384.219405798877,4763.176182262497,2610.8,134.4,12444.050930519541,2300.9556828152736,9282.85243716627,2426.7086532241206,-20635.9,5986.05,9281.6,94.28076290299832,104.6,95.31250000000001,107.1,12517.8,455.18244019927516,79.6,5.800000000000011,85.4,635.4,22.700000000000045,658.1,3130.683969206035,-0.063109048723898,1513.2601361159366,80.58657749077454,0.7414721436674176,1534.0798298098657
2020,101.42872414598965,42417.12885963361,83958.3,864.3992186933019,104.6338937780149,11991.35,20403.059708055753,7283.3,59794.4,14100.2,23150.4,22972.70868013334,102.02087264133485,42417.12885963361,83958.3,8922.242295430393,83958.3,42031.5,96.52539991831979,9712.3,15724.9,4954.6,-16080.6,0.27573688366724913,109.4,74861.6,102.3,103.1,11704.3,64584,28359.8,0.11568004592756165,0.7692390150824874,5708.691308427874,54.4,3494.2061807736886,4255.090023260241,5396.110633016866,-1292.7,175.3,13696.303939094787,1825.7126884611832,9370.715471141066,2394.380610206551,-17715.6,7333.5,8863.7,91.8245610836328,104,99.7,97.5,11616.9,524.5713707311074,73.6,6.300000000000011,79.9,634.8,19.90000000000009,654.7,2843.4041236784105,-0.07196951541005603,1394.7608167041099,22.239678615574785,0.7630004562318692,1547.6044657409218
2021,108.47660979185154,47075.058044801124,101076.30000000002,911.8481903633422,110.98124580893132,15787.000000000004,24509.70501409585,8932.6,71966.7,17680.6,32314.3,26888.372344207462,106.48595186692762,47075.058044801124,101076.30000000002,10312,101076.29999999999,50593.05000000001,109.89760005663085,11001.4,22981.1,2934.9,-24018.4,0.31970204686954307,108,92235.3,104.6,104.3,14902.8,80377.1,37372.2,0.10884252787250817,0.7952121318251657,7001.811018112208,60.4,3520.1902926800403,4998.420565095104,6226.336373809449,-2963.6,184.3,16578.504034659527,2067.492491251609,10330.281247969066,2831.2334391708896,-23714.600000000002,12298.800000000001,11417.3,104.46848281866183,123.3,103.8,113,14757.2,614.1337319002441,76.3,5.700000000000003,82,717.1,20,737.1,3054.4370940231056,0.270321686508449,2051.785428018354,51.37278761061947,0.773676578212669,2222.1178534505043
2022,108.22627671327531,50857.97260487877,118181.70000000001,1073.7361461299859,108.03592118033602,18281.800000000003,33185.27883666595,10146.4,82452.8,21014,37469.9,30871.040879351513,105.42073263120376,50857.97260487877,118181.70000000001,11838.8,118181.7,59145.15000000001,109.65061265424191,11977.8,41149.9,4446.2,-28951.2,0.317053317053317,104.2,115547,99.3,115.7,19666.8,102715.8,57482.6,0.10135071673533211,0.8691345614422537,8051.8890061565635,57.7,4061.502685567085,5801.182924207971,7240.510956314358,-601.4,270.6,19123.14654216863,2186.987623645976,11722.263096553117,3025.6363062644987,-38680,9701.2,13250.1,104.17668950239158,111.4,126.1,111.05684439017773,16279.5,740.2713855762883,97.3,6.1000000000000085,103.4,797.1,21.5,818.6,3368.5014094421163,0.10315642533814007,2423.047841875655,115.935960591133,0.8139132037224731,2310.0198253746794
2023,103.72439807211711,55089.23812512101,132781.90000000002,1202.3774076858404,108.31976837361451,20193.85,39000.43913271634,10448.9,91281.2,21058.7,37577.8,34139.407750227845,104.0147221485772,55089.23812512101,132781.90000000002,13039.181797649095,132782,66444.80000000002,104.56087418758888,14157.5,35134.3,4449.5,-32113.9,0.28300393351804726,103.8,133104.30000000002,90.9,109.2,22901.8,118160.2,53979.5,0.10662221281665647,0.8898818287733492,8684.093337156508,54.85,4604.7152074943115,6050.72153400597,8104.807566836197,-853.8999999999942,246.2,21111.932058481507,2634.5980659011993,12971.303650232301,3530.428384033485,-41495.8,11470.550000000001,14923.6,100.29393887603382,112.3,116.6,109.8582946494014,19859,850.6074080637802,114.1,6.5,120.6,876.7,22.59999999999991,899.3,3961.33799299381,0.21987776037347584,2736.4587666950843,348.9588898525585,0.7514779193312856,2860.819199134199
2024,108.20255272739531,59732.81096567573,155783.9,1387.3581764303349,108.4291832644482,26040.949999999993,45809.51403176352,11743.9,106825.6,25310.7,47110.6,39332.24463722305,105.54391199728117,59732.81096567573,155783.9,14981.526004000614,155783.9,77945.75,107.19884052214401,17602.5,51448.7,3402.9,-37241.25,0.30240994095025225,103.6,161955.2,76.9,115.5,25616.6,143478,75089.9,0.11299306282613288,0.921006599526652,9807.360357461639,60,5520.9251369863505,7077.297727523335,9429.260661474791,432.79999999998836,299.5,24313.211312562056,3133.7135727205405,14910.357031053089,3864.3032354358743,-57117.600000000006,8771.1,17873.3,104.7,114.38905264772578,111.5,113.42155009451795,22543,902.8822358658164,127.7,6.700000000000003,134.4,996.1,23.899999999999977,1020,4915.370416535185,0.1351528274334055,3148.360828864086,48.97098721080615,0.7928536574546422,4147.724909987066
2025,106.4321243436517,64771.647528698224,176919,1661.6528862633938,108.43562605134716,17651.35241562385,53945.40300944783,13505.484999999999,106825.6,33765.80804034991,63336.11134484049,43761.106963382845,104.95591679833295,64771.647528698224,176919,16684.490465682113,155783.9,88524.0308722327,125.58645249671716,20158.91743685644,36489.61465929976,4042.7305113728,-43715.476852550004,0.35799496574613515,103.5,163129.42226810416,110.36651743032651,112.05493921911139,25616.6,142970.5048312477,75089.9,0.113944332925556,0.8081127794711009,9709.217200861505,61.05,7241.912970805458,9121.197992694972,10216.931938633283,0,299.5,23425.04568937845,5075.605769189777,20192.044109987146,4670.893496409839,-53589.26412431743,17031.4848557065,12608.5,103.6,68.09244401071317,115.17857142857144,110.90196078431373,28736,1017.1199076167698,147.4,7.400000000000006,154.8,1106.6,24.600000000000136,1131.2,6640.425474289202,0.2747194250987002,3674.883073610114,24.652024291497973,0.4387701837416481,5653.331512959614
2026,104.1423139284166,70273.56603306995,199898.1373681862,2012.1262721139838,108.4943315698956,15759.038317745104,62749.79695581787,15531.307749999998,106825.6,32609.56896672439,61202.7694184234,49281.7253182413,104.21221516610406,70273.56603306995,199898.1373681862,18464.63489453041,155783.9,100005.40849734803,111.89276695482337,23048.921749811634,32237.593918490285,3906.5597501121374,-40275.20134165602,0.3061697833917077,102.41615783032842,179844.37485575455,111.34769292304831,112.21996772947476,25616.6,156795.4531059429,75089.9,0.1153033342544785,0.7843767589347078,14042.239355578266,62.510483136408126,6536.820169978819,8613.347398896978,11645.360261360769,0,299.5,32269.8752446808,3123.3634403415485,17321.69867319375,4841.539272962844,-45055.566656103874,17852.358220240214,24902.407679999997,114,173.24992872393935,115.28372093023256,111.26082036775107,32767.971999999998,1442.2762880725586,170.6892,7.770000000000007,178.4592,1232.7524,25.830000000000144,1258.5824000000002,7105.1025,15570.923720414798,4072.067766666667,29.979999999999997,0.759961821256439,6953.4895
